Sample,Cluster
201664_at,1
201665_x_at,0
201666_at,0
201667_at,1
201668_x_at,0
201669_s_at,0
201670_s_at,0
201671_x_at,1
201672_s_at,0
201673_s_at,0
201674_s_at,0
201675_at,0
201676_x_at,0
201677_at,1
201678_s_at,0
201679_at,1
201680_x_at,0
201681_s_at,1
201682_at,0
201683_x_at,1
201684_s_at,0
201685_s_at,1
201686_x_at,0
201687_s_at,1
201688_s_at,0
201689_s_at,0
201690_s_at,0
201691_s_at,1
201692_at,0
201693_s_at,0
201694_s_at,0
201695_s_at,0
201696_at,0
201697_s_at,1
201698_s_at,0
201699_at,1
201700_at,0
201701_s_at,1
201702_s_at,1
201703_s_at,0
201704_at,0
201705_at,0
201706_s_at,1
201707_at,1
201708_s_at,1
201709_s_at,0
201710_at,1
201711_x_at,0
201712_s_at,1
201713_s_at,1
201714_at,1
201715_s_at,1
201716_at,0
201717_at,0
201718_s_at,0
201719_s_at,0
201720_s_at,0
201721_s_at,0
201722_s_at,0
201723_s_at,0
201724_s_at,0
201725_at,0
201726_at,0
201727_s_at,1
201728_s_at,1
201729_s_at,0
201730_s_at,0
201731_s_at,0
201732_s_at,0
201733_at,1
201734_at,0
201735_s_at,0
201736_s_at,0
201737_s_at,1
201738_at,0
201739_at,0
201740_at,0
201741_x_at,1
201742_x_at,0
201743_at,0
201744_s_at,0
201745_at,0
201746_at,0
201747_s_at,1
201748_s_at,0
201749_at,1
201750_s_at,1
201751_at,0
201752_s_at,0
201753_s_at,0
201754_at,0
201755_at,1
201756_at,0
201757_at,0
201758_at,0
201759_at,1
201760_s_at,0
201761_at,0
201762_s_at,0
201763_s_at,1
201764_at,0
201765_s_at,0
201766_at,1
201767_s_at,1
201768_s_at,0
201769_at,0
201770_at,0
201771_at,0
201772_at,0
201773_at,0
201774_s_at,1
201775_s_at,0
201776_s_at,0
201777_s_at,1
201778_s_at,0
201779_s_at,0
201780_s_at,1
201781_s_at,1
201782_s_at,0
201783_s_at,0
201784_s_at,0
201785_at,0
201786_s_at,0
201787_at,1
201788_at,0
201789_at,1
201790_s_at,1
201791_s_at,1
201792_at,1
201793_x_at,1
201794_s_at,0
201795_at,0
201796_s_at,1
201797_s_at,1
201798_s_at,0
201799_s_at,1
201800_s_at,0
201801_s_at,1
201802_at,1
201803_at,0
201804_x_at,0
201805_at,0
201806_s_at,1
201807_at,0
201808_s_at,1
201809_s_at,1
201810_s_at,1
201811_x_at,1
201812_s_at,0
201813_s_at,1
201814_at,0
201815_s_at,1
201816_s_at,0
201817_at,1
201818_at,1
201819_at,1
201820_at,1
201821_s_at,1
201822_at,1
201823_s_at,1
201824_at,1
201825_s_at,1
201826_s_at,1
201827_at,1
201828_x_at,0
201829_at,0
201830_s_at,0
201831_s_at,1
201832_s_at,0
201833_at,1
201834_at,1
201835_s_at,1
201836_s_at,1
201837_s_at,1
201838_s_at,1
201839_s_at,0
201840_at,0
201841_s_at,0
201842_s_at,0
201843_s_at,1
201844_s_at,0
201845_s_at,0
201846_s_at,0
201847_at,0
201848_s_at,1
201849_at,1
201850_at,0
201851_at,1
201852_x_at,0
201853_s_at,1
201854_s_at,0
201855_s_at,1
201856_s_at,1
201857_at,0
201858_s_at,0
201859_at,0
201860_s_at,0
201861_s_at,0
201862_s_at,0
201863_at,0
201864_at,0
201865_x_at,0
201866_s_at,1
201867_s_at,1
201868_s_at,1
201869_s_at,1
201870_at,0
201871_s_at,0
201872_s_at,1
201873_s_at,1
201874_at,0
201875_s_at,0
201876_at,0
201877_s_at,0
201878_at,1
201879_at,0
201880_at,1
201881_s_at,1
201882_x_at,1
201883_s_at,0
201884_at,0
201885_s_at,0
201886_at,0
201887_at,0
201888_s_at,1
201889_at,0
201890_at,1
201891_s_at,0
201892_s_at,0
201893_x_at,0
201894_s_at,0
201895_at,0
201896_s_at,1
201897_s_at,0
201898_s_at,0
201899_s_at,0
201900_s_at,0
201901_s_at,0
201902_s_at,1
201903_at,0
201904_s_at,0
201905_s_at,1
201906_s_at,0
201907_x_at,1
201908_at,1
201909_at,1
201910_at,1
201911_s_at,1
201912_s_at,0
201913_s_at,0
201914_s_at,1
201915_at,1
201916_s_at,0
201917_s_at,0
201918_at,1
201919_at,0
201920_at,0
201921_at,0
201922_at,0
201923_at,0
201924_at,0
201925_s_at,0
201926_s_at,0
201927_s_at,1
201928_at,1
201929_s_at,1
201930_at,0
201931_at,0
201932_at,1
201933_at,0
201934_at,0
201935_s_at,1
201936_s_at,1
201937_s_at,1
201938_at,0
201939_at,1
201940_at,1
201941_at,0
201942_s_at,1
201943_s_at,1
201944_at,0
201945_at,0
201946_s_at,0
201947_s_at,0
201948_at,1
201949_x_at,0
201950_x_at,0
201951_at,1
201952_at,0
201953_at,0
201954_at,0
201955_at,0
201956_s_at,0
201957_at,0
201958_s_at,1
201959_s_at,1
201960_s_at,1
201961_s_at,1
201962_s_at,1
201963_at,1
201964_at,1
201965_s_at,1
201966_at,0
201967_at,1
201968_s_at,0
201969_at,1
201970_s_at,1
201971_s_at,1
201972_at,0
201973_s_at,0
201974_s_at,1
201975_at,1
201976_s_at,0
201977_s_at,1
201978_s_at,1
201979_s_at,1
201980_s_at,0
201981_at,1
201982_s_at,1
201983_s_at,0
201984_s_at,1
201985_at,1
201986_at,0
201987_at,0
201988_s_at,0
201989_s_at,0
201990_s_at,1
201991_s_at,0
201992_s_at,1
201993_x_at,0
201994_at,0
201995_at,0
201996_s_at,1
201997_s_at,0
201998_at,0
201999_s_at,0
202000_at,0
202001_s_at,0
202002_at,1
202003_s_at,0
202004_x_at,0
202005_at,0
202006_at,1
202007_at,1
202008_s_at,1
202009_at,1
202010_s_at,0
202011_at,0
202012_s_at,0
202013_s_at,1
202014_at,0
202015_x_at,1
202016_at,0
202017_at,0
202018_s_at,1
202019_s_at,0
202020_s_at,0
202021_x_at,0
202022_at,0
202023_at,0
202024_at,0
202025_x_at,0
202026_at,0
202027_at,1
202028_s_at,0
202029_x_at,0
202030_at,1
202031_s_at,1
202032_s_at,1
202033_s_at,1
202034_x_at,1
202035_s_at,1
202036_s_at,1
202037_s_at,0
202038_at,0
202039_at,1
202040_s_at,0
202041_s_at,0
202042_at,1
202043_s_at,0
202044_at,1
202045_s_at,1
202046_s_at,1
202047_s_at,0
202048_s_at,1
202049_s_at,1
202050_s_at,1
202051_s_at,1
202052_s_at,1
202053_s_at,0
202054_s_at,0
202055_at,1
202056_at,1
202057_at,1
202058_s_at,1
202059_s_at,1
202060_at,0
202061_s_at,0
202062_s_at,1
202063_s_at,1
202064_s_at,1
202065_s_at,1
202066_at,1
202067_s_at,0
202068_s_at,0
202069_s_at,0
202070_s_at,0
202071_at,0
202072_at,1
202073_at,1
202074_s_at,0
202075_s_at,1
202076_at,0
202077_at,0
202078_at,0
202079_s_at,1
202080_s_at,1
202081_at,0
202082_s_at,1
202083_s_at,1
202084_s_at,0
202085_at,0
202086_at,1
202087_s_at,0
202088_at,1
202089_s_at,1
202090_s_at,0
202091_at,1
202092_s_at,0
202093_s_at,1
202094_at,1
202095_s_at,1
202096_s_at,0
202097_at,1
202098_s_at,1
202099_s_at,1
202100_at,0
202101_s_at,1
202102_s_at,0
202103_at,1
202104_s_at,1
202105_at,0
202106_at,1
202107_s_at,1
202108_at,0
202109_at,0
202110_at,0
202111_at,1
202112_at,1
202113_s_at,1
